User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
BBCWorld,1,India activist arrests: Is this a political witch hunt? https://t.co/5yTs1lZObm,Wed Aug 29 05:58:34 +0000 2018,-0.6597,0.0,0.0,0.0
BBCWorld,2,Myanmar rejects UN accusation of 'genocide' against Rohingya https://t.co/iJAiBJwKQj,Wed Aug 29 04:50:33 +0000 2018,-0.6369,0.0,0.0,0.0
BBCWorld,3,Venezuela crisis: Brazil to send army to safeguard border https://t.co/SsjDbA6CWZ,Wed Aug 29 04:28:13 +0000 2018,-0.3612,0.177,0.177,0.177
BBCWorld,4,Hong Kong woman marries stranger after being 'tricked' by work https://t.co/c7izeq4B3H,Wed Aug 29 02:52:40 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,5,Chemnitz protests: Far-right on march in east Germany https://t.co/pxoNnD0jo1,Tue Aug 28 23:32:51 +0000 2018,-0.2263,0.0,0.0,0.0
BBCWorld,6,"Puerto Rico increases Hurricane Maria death toll to 2,975 https://t.co/mwKJ0Jg1hP",Tue Aug 28 22:24:35 +0000 2018,-0.5994,0.0,0.0,0.0
BBCWorld,7,Didi blames 'ignorance and pride' for carpool murder https://t.co/3WXOvFQz7E,Tue Aug 28 21:35:18 +0000 2018,-0.8176,0.139,0.139,0.139
BBCWorld,8,Canada police arrest teen suspected in German tourist shooting https://t.co/cmalU450UG,Tue Aug 28 21:12:44 +0000 2018,-0.5106,0.0,0.0,0.0
BBCWorld,9,Scallop war: French and British boats clash in Channel https://t.co/rSmYf8wafE,Tue Aug 28 21:09:54 +0000 2018,-0.5994,0.0,0.0,0.0
BBCWorld,10,Morocco: Arrests made in Khadija rape and torture case https://t.co/Kq3RaEGeRk,Tue Aug 28 21:00:58 +0000 2018,-0.91,0.0,0.0,0.0
BBCWorld,11,Nafta: Clock is ticking for Canada in US trade negotiations https://t.co/hIeWqEAOPY,Tue Aug 28 20:20:41 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,12,Protests as police woman who shot man teaches class on shootings https://t.co/WIAl9SXvUK,Tue Aug 28 20:09:31 +0000 2018,-0.2263,0.0,0.0,0.0
BBCWorld,13,"Russia's massive military drills justified given ""aggressive and unfriendly"" attitudes towards country

https://t.co/70qVOoHVuD",Tue Aug 28 18:12:55 +0000 2018,-0.1027,0.161,0.161,0.161
BBCWorld,14,"Comedians hit out at Louis CK's stand-up return

https://t.co/qZRQIarZfW",Tue Aug 28 17:43:44 +0000 2018,0.296,0.216,0.216,0.216
BBCWorld,15,"🥊🥊

KSI vs Logan Paul: Boxing match shows ""how far YouTubers have come"" 

https://t.co/gTl8AWARFu #KSIvsLogan",Tue Aug 28 17:01:36 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,16,"Five US cops who were recorded pummelling an unarmed man will not face any charges, authorities have announced https://t.co/jQqK9XukPM",Tue Aug 28 16:54:35 +0000 2018,0.2057,0.092,0.092,0.092
BBCWorld,17,"A former Vatican diplomat who accused the Pope of covering up reports of clerical sex abuse has fled Italy ""in fear… https://t.co/OHXxznVB0N",Tue Aug 28 16:32:35 +0000 2018,-0.7506,0.0,0.0,0.0
BBCWorld,18,"RT @BBCSport: Kevin Strootman has joined Marseille from Roma in a €25m (£22.7m) deal.

👉 https://t.co/qi5uD4AGJi https://t.co/NlA6dGfRxe",Tue Aug 28 16:19:22 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,19,"After a minister quit on live radio, who's left in Emmanuel Macron's top team? https://t.co/ZQurvrPznX",Tue Aug 28 15:52:09 +0000 2018,0.2023,0.122,0.122,0.122
BBCWorld,20,"RT @BBCSport: ⚡

Usain Bolt is finally set to make his football debut.

👉 https://t.co/dHxehPSNLm https://t.co/1inxfHMXyR",Tue Aug 28 15:24:50 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,21,India activist arrests: Is this a political witch hunt? https://t.co/5yTs1lZObm,Wed Aug 29 05:58:34 +0000 2018,-0.6597,0.0,0.0,0.0
BBCWorld,22,Myanmar rejects UN accusation of 'genocide' against Rohingya https://t.co/iJAiBJwKQj,Wed Aug 29 04:50:33 +0000 2018,-0.6369,0.0,0.0,0.0
BBCWorld,23,Venezuela crisis: Brazil to send army to safeguard border https://t.co/SsjDbA6CWZ,Wed Aug 29 04:28:13 +0000 2018,-0.3612,0.177,0.177,0.177
BBCWorld,24,Hong Kong woman marries stranger after being 'tricked' by work https://t.co/c7izeq4B3H,Wed Aug 29 02:52:40 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,25,Chemnitz protests: Far-right on march in east Germany https://t.co/pxoNnD0jo1,Tue Aug 28 23:32:51 +0000 2018,-0.2263,0.0,0.0,0.0
BBCWorld,26,"Puerto Rico increases Hurricane Maria death toll to 2,975 https://t.co/mwKJ0Jg1hP",Tue Aug 28 22:24:35 +0000 2018,-0.5994,0.0,0.0,0.0
BBCWorld,27,Didi blames 'ignorance and pride' for carpool murder https://t.co/3WXOvFQz7E,Tue Aug 28 21:35:18 +0000 2018,-0.8176,0.139,0.139,0.139
BBCWorld,28,Canada police arrest teen suspected in German tourist shooting https://t.co/cmalU450UG,Tue Aug 28 21:12:44 +0000 2018,-0.5106,0.0,0.0,0.0
BBCWorld,29,Scallop war: French and British boats clash in Channel https://t.co/rSmYf8wafE,Tue Aug 28 21:09:54 +0000 2018,-0.5994,0.0,0.0,0.0
BBCWorld,30,Morocco: Arrests made in Khadija rape and torture case https://t.co/Kq3RaEGeRk,Tue Aug 28 21:00:58 +0000 2018,-0.91,0.0,0.0,0.0
BBCWorld,31,Nafta: Clock is ticking for Canada in US trade negotiations https://t.co/hIeWqEAOPY,Tue Aug 28 20:20:41 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,32,Protests as police woman who shot man teaches class on shootings https://t.co/WIAl9SXvUK,Tue Aug 28 20:09:31 +0000 2018,-0.2263,0.0,0.0,0.0
BBCWorld,33,"Russia's massive military drills justified given ""aggressive and unfriendly"" attitudes towards country

https://t.co/70qVOoHVuD",Tue Aug 28 18:12:55 +0000 2018,-0.1027,0.161,0.161,0.161
BBCWorld,34,"Comedians hit out at Louis CK's stand-up return

https://t.co/qZRQIarZfW",Tue Aug 28 17:43:44 +0000 2018,0.296,0.216,0.216,0.216
BBCWorld,35,"🥊🥊

KSI vs Logan Paul: Boxing match shows ""how far YouTubers have come"" 

https://t.co/gTl8AWARFu #KSIvsLogan",Tue Aug 28 17:01:36 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,36,"Five US cops who were recorded pummelling an unarmed man will not face any charges, authorities have announced https://t.co/jQqK9XukPM",Tue Aug 28 16:54:35 +0000 2018,0.2057,0.092,0.092,0.092
BBCWorld,37,"A former Vatican diplomat who accused the Pope of covering up reports of clerical sex abuse has fled Italy ""in fear… https://t.co/OHXxznVB0N",Tue Aug 28 16:32:35 +0000 2018,-0.7506,0.0,0.0,0.0
BBCWorld,38,"RT @BBCSport: Kevin Strootman has joined Marseille from Roma in a €25m (£22.7m) deal.

👉 https://t.co/qi5uD4AGJi https://t.co/NlA6dGfRxe",Tue Aug 28 16:19:22 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,39,"After a minister quit on live radio, who's left in Emmanuel Macron's top team? https://t.co/ZQurvrPznX",Tue Aug 28 15:52:09 +0000 2018,0.2023,0.122,0.122,0.122
BBCWorld,40,"RT @BBCSport: ⚡

Usain Bolt is finally set to make his football debut.

👉 https://t.co/dHxehPSNLm https://t.co/1inxfHMXyR",Tue Aug 28 15:24:50 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,41,RT @BBCNorthAmerica: Mollie Tibbetts' death is the latest tragedy to highlight the issues female joggers face in the US. Have you experienc…,Tue Aug 28 15:24:17 +0000 2018,-0.7845,0.081,0.081,0.081
BBCWorld,42,"When Warren Buffet isn't Warren Buffett

https://t.co/7sHs6bSBLq",Tue Aug 28 14:46:42 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,43,"RT @VictoriaLIVE: ""They're living in absolute squalor.""

MSF worker, Myriam Abdel-Basit, on the Greek refugee camp where children as young…",Tue Aug 28 14:14:10 +0000 2018,0.0,0.0,0.0,0.0
